product_title,brand,category,gtin,store_id,store_name,listing_url,price,currency,delivery_days,fast_delivery,in_stock
Dell Alienware AW2724DM 27" QHD 165Hz,Dell,Monitor Gaming,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
Apple iPhone 15 128GB,Apple,Phone Flagship,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
Sony WH-1000XM5,Sony,Audio Headphones,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,2,true,true
Logitech MX Keys S,Logitech,Keyboard,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
Lavazza Qualità Rossa Coffee 1kg,Lavazza,Grocery Coffee,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
Head & Shoulders Classic Clean 400ml,Head & Shoulders,Beauty Haircare,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
Pampers Premium Care Size 3 90pcs,Pampers,Baby Diapers,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
Vanish Oxi Action 1.5L,Vanish,Household Cleaning,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
Whiskas Adult Chicken 1.9kg,Whiskas,Pet Food,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
LEGO Classic Bricks and Wheels 60197,LEGO,Kids Toys,,emag,eMAG,PASTE_URL_HERE,PASTE_PRICE_HERE,RON,3,false,true
